approbate, approbated, approbated, approbating
appropriate, appropriated, appropriated, appropriating
approve, approved, approved, approving
approximate, approximated, approximated, approximating
aquaplane, aquaplaned, aquaplaned, aquaplaning
aquatint, aquatinted, aquatinted, aquatinting
arbitrage, arbitraged, arbitraged, arbitraging
arbitrate, arbitrated, arbitrated, arbitrating
arborise, arborised, arborised, arborising
arborize, arborized, arborized, arborizing
arc, arced, arced, arcing
arch, arched, arched, arching
archaise, archaised, archaised, archaising
archaize, archaized, archaized, archaizing
archive, archived, archived, archiving
argue, argued, argued, arguing
argufy, argufied, argufied, argufying
arise, arised, arised, arising
arm, armed, armed, arming
armor, armored, armored, armoring
armour, armoured, armoured, armouring
aromatise, aromatised, aromatised, aromatising
aromatize, aromatized, aromatized, aromatizing
arouse, aroused, aroused, arousing
arraign, arraigned, arraigned, arraigning
arrange, arranged, arranged, arranging
array, arraied, arraied, arraying
arrest, arrested, arrested, arresting
arrive, arrived, arrived, arriving
arrogate, arrogated, arrogated, arrogating
arterialise, arterialised, arterialised, arterialising
arterialize, arterialized, arterialized, arterializing
article, articled, articled, articling
articulate, articulated, articulated, articulating
ascend, ascended, ascended, ascending
ascertain, ascertained, ascertained, ascertaining
ascribe, ascribed, ascribed, ascribing
ash, ashed, ashed, ashing
ask, asked, asked, asking
asperse, aspersed, aspersed, aspersing
asphalt, asphalted, asphalted, asphalting
asphyxiate, asphyxiated, asphyxiated, asphyxiating
aspirate, aspirated, aspirated, aspirating
aspire, aspired, aspired, aspiring
assail, assailed, assailed, assailing
assassinate, assassinated, assassinated, assassinating
assault, assaulted, assaulted, assaulting
assay, assaied, assaied, assaying
assemble, assembled, assembled, assembling
assent, assented, assented, assenting
assert, asserted, asserted, asserting
assess, assessed, assessed, assessing
asseverate, asseverated, asseverated, asseverating
assibilate, assibilated, assibilated, assibilating
assign, assigned, assigned, assigning
assimilate, assimilated, assimilated, assimilating
assist, assisted, assisted, assisting
associate, associated, associated, associating
assoil, assoiled, assoiled, assoiling
assonate, assonated, assonated, assonating
assort, assorted, assorted, assorting
assuage, assuaged, assuaged, assuaging
assume, assumed, assumed, assuming
assure, assured, assured, assuring
asterisk, asterisked, asterisked, asterisking
astonish, astonished, astonished, astonishing
astound, astounded, astounded, astounding
astringe, astringed, astringed, astringing
astrogate, astrogated, astrogated, astrogating
atom-bomb, atom-bombed, atom-bombed, atom-bombing
atomise, atomised, atomised, atomising
atomize, atomized, atomized, atomizing
atone, atoned, atoned, atoning
atrophy, atrophied, atrophied, atrophying
attach, attached, attached, attaching
attack, attacked, attacked, attacking
attain, attained, attained, attaining
attaint, attainted, attainted, attainting
attemper, attempered, attempered, attempering
attempt, attempted, attempted, attempting
attend, attended, attended, attending
attenuate, attenuated, attenuated, attenuating
attest, attested, attested, attesting
attire, attired, attired, attiring
attitudinise, attitudinised, attitudinised, attitudinising
attitudinize, attitudinized, attitudinized, attitudinizing
attorn, attorned, attorned, attorning
attract, attracted, attracted, attracting
attribute, attributed, attributed, attributing
attune, attuned, attuned, attuning
auction, auctioned, auctioned, auctioning
auctioneer, auctioneered, auctioneered, auctioneering
audit, audited, audited, auditing
audition, auditioned, auditioned, auditioning
augment, augmented, augmented, augmenting
augur, augured, augured, auguring
aurify, aurified, aurified, aurifying
auscultate, auscultated, auscultated, auscultating
auspicate, auspicated, auspicated, auspicating
authenticate, authenticated, authenticated, authenticating
author, authored, authored, authoring
authorise, authorised, authorised, authorising
authorize, authorized, authorized, authorizing
autoclave, autoclaved, autoclaved, autoclaving
autograph, autographed, autographed, autographing
automate, automated, automated, automating
automatise, automatised, automatised, automatising
automatize, automatized, automatized, automatizing
automobile, automobiled, automobiled, automobiling
autopsy, autopsied, autopsied, autopsying
autotomise, autotomised, autotomised, autotomising
autotomize, autotomized, autotomized, autotomizing
avail, availed, availed, availing
avalanche, avalanched, avalanched, avalanching
avenge, avenged, avenged, avenging
aver, avered, avered, avering
average, averaged, averaged, averaging
avert, averted, averted, averting
avianise, avianised, avianised, avianising
avianize, avianized, avianized, avianizing
aviate, aviated, aviated, aviating
avoid, avoided, avoided, avoiding
avouch, avouched, avouched, avouching
avow, avowed, avowed, avowing
avulse, avulsed, avulsed, avulsing
await, awaited, awaited, awaiting
awake, awaked, awaked, awaking
awaken, awakened, awakened, awakening
award, awarded, awarded, awarding
awe, awed, awed, awing
ax, axed, axed, axing
axe, axed, axed, axing
azure, azured, azured, azuring
baa, baaed, baaed, baaing
babbitt, babbitted, babbitted, babbitting
babble, babbled, babbled, babbling
baby, babied, babied, babying
baby-sit, baby-sited, baby-sited, baby-siting
babysit, babysited, babysited, babysiting
bach, bached, bached, baching
bachelor, bachelored, bachelored, bacheloring
back, backed, backed, backing
backbite, backbited, backbited, backbiting
backcross, backcrossed, backcrossed, backcrossing
backdate, backdated, backdated, backdating
backfire, backfired, backfired, backfiring
backflip, backflipped, backflipped, backflipping
background, backgrounded, backgrounded, backgrounding
backhand, backhanded, backhanded, backhanding
backlash, backlashed, backlashed, backlashing
backlog, backloged, backloged, backloging
backpack, backpacked, backpacked, backpacking
backpedal, backpedaled, backpedaled, backpedaling
backscatter, backscattered, backscattered, backscattering
backslap, backslaped, backslaped, backslaping
backslide, backslided, backslided, backsliding
backspace, backspaced, backspaced, backspacing
backstitch, backstitched, backstitched, backstitching
backstop, backstoped, backstoped, backstoping
backstroke, backstroked, backstroked, backstroking
backtrack, backtracked, backtracked, backtracking
bacterise, bacterised, bacterised, bacterising
bacterize, bacterized, bacterized, bacterizing
badge, badged, badged, badging
badger, badgered, badgered, badgering
badmouth, badmouthed, badmouthed, badmouthing
baffle, baffled, baffled, baffling
bag, baged, baged, baging
bail, bailed, bailed, bailing
bait, baited, baited, baiting
bake, baked, baked, baking
balance, balanced, balanced, balancing
bald, balded, balded, balding
bale, baled, baled, baling
balk, balked, balked, balking
balkanise, balkanised, balkanised, balkanising
balkanize, balkanized, balkanized, balkanizing
ball, balled, balled, balling
ballast, ballasted, ballasted, ballasting
balloon, ballooned, ballooned, ballooning
ballot, balloted, balloted, balloting
ballyhoo, ballyhooed, ballyhooed, ballyhooing
ballyrag, ballyraged, ballyraged, ballyraging
bamboozle, bamboozled, bamboozled, bamboozling
ban, baned, baned, baning
band, banded, banded, banding
bandage, bandaged, bandaged, bandaging
bandy, bandied, bandied, bandying
bang, banged, banged, banging
banish, banished, banished, banishing
bank, banked, banked, banking
bankroll, bankrolled, bankrolled, bankrolling
bankrupt, bankrupted, bankrupted, bankrupting
banquet, banqueted, banqueted, banqueting
banter, bantered, bantered, bantering
baptise, baptised, baptised, baptising
baptize, baptized, baptized, baptizing
bar, bared, bared, baring
barb, barbed, barbed, barbing
barbarise, barbarised, barbarised, barbarising
barbarize, barbarized, barbarized, barbarizing
barbecue, barbecued, barbecued, barbecuing
barbeque, barbequed, barbequed, barbequing
barber, barbered, barbered, barbering
bard, barded, barded, barding
barde, barded, barded, barding
bare, bared, bared, baring
barf, barfed, barfed, barfing
bargain, bargained, bargained, bargaining
barge, barged, barged, barging
bark, barked, barked, barking
barnstorm, barnstormed, barnstormed, barnstorming
baronetise, baronetised, baronetised, baronetising
baronetize, baronetized, baronetized, baronetizing
barrack, barracked, barracked, barracking
barrage, barraged, barraged, barraging
barrel, barreled, barreled, barreling
barricade, barricaded, barricaded, barricading
barricado, barricadoed, barricadoed, barricadoing
barter, bartered, bartered, bartering
base, based, based, basing
bash, bashed, bashed, bashing
basify, basified, basified, basifying
bask, basked, basked, basking
basset, basseted, basseted, basseting
bastardise, bastardised, bastardised, bastardising
bastardize, bastardized, bastardized, bastardizing
baste, basted, basted, basting
bastinado, bastinadoed, bastinadoed, bastinadoing
bat, bated, bated, bating
batch, batched, batched, batching
bate, bated, bated, bating
batfowl, batfowled, batfowled, batfowling
bathe, bathed, bathed, bathing
batik, batiked, batiked, batiking
batten, battened, battened, battening
batter, battered, battered, battering
battle, battled, battled, battling
baulk, baulked, baulked, baulking
bawl, bawled, bawled, bawling
bay, baied, baied, baying
bayonet, bayoneted, bayoneted, bayoneting
be, bed, bed, bing
beach, beached, beached, beaching
beacon, beaconed, beaconed, beaconing
bead, beaded, beaded, beading
beak, beaked, beaked, beaking
beam, beamed, beamed, beaming
bean, beaned, beaned, beaning
bear, beared, beared, bearing
beard, bearded, bearded, bearding
beat, beated, beated, beating
beatify, beatified, beatified, beatifying
beautify, beautified, beautified, beautifying
beaver, beavered, beavered, beavering
bebop, beboped, beboped, beboping
becalm, becalmed, becalmed, becalming
bechance, bechanced, bechanced, bechancing
becharm, becharmed, becharmed, becharming
beckon, beckoned, beckoned, beckoning
becloud, beclouded, beclouded, beclouding
become, becomed, becomed, becoming
bed, beded, beded, beding
bed-hop, bed-hoped, bed-hoped, bed-hoping
bedamn, bedamned, bedamned, bedamning
bedaub, bedaubed, bedaubed, bedaubing
bedaze, bedazed, bedazed, bedazing
bedazzle, bedazzled, bedazzled, bedazzling
bedeck, bedecked, bedecked, bedecking
bedevil, bedeviled, bedeviled, bedeviling
bedew, bedewed, bedewed, bedewing
bedhop, bedhoped, bedhoped, bedhoping
bedight, bedighted, bedighted, bedighting
bedim, bedimed, bedimed, bediming
bedizen, bedizened, bedizened, bedizening
bedraggle, bedraggled, bedraggled, bedraggling
beef, beefed, beefed, beefing
beep, beeped, beeped, beeping
beeswax, beeswaxed, beeswaxed, beeswaxing
beetle, beetled, beetled, beetling
befall, befalled, befalled, befalling
befit, befited, befited, befiting
befog, befoged, befoged, befoging
befool, befooled, befooled, befooling
befoul, befouled, befouled, befouling
befriend, befriended, befriended, befriending
befuddle, befuddled, befuddled, befuddling
beg, beged, beged, beging
beget, begeted, begeted, begeting
beggar, beggared, beggared, beggaring
begild, begilded, begilded, begilding
begin, begined, begined, begining
begrime, begrimed, begrimed, begriming
begrudge, begrudged, begrudged, begrudging
